"taxon_id (Info Flora)";"Wissenschaftlicher Name";"LIST 2021";Habitus;Name DE;;;Nom FR;;;Nome IT;;;"Jura";"Mittelland";"Alpennordflanke";"Zentralalpen W";"Zentralalpen O";"Alpensüdflanke";IFL 2014;"Anhang 2 (FrSV)"
1000030;Acacia dealbata Link;INV;Ba;Falsche Mimose;link;https://www.infoflora.ch/de/flora/1000030;Mimosa blanchâtre;link;https://www.infoflora.ch/fr/flore/1000030;Mimosa;link;https://www.infoflora.ch/it/flora/1000030;;*;*;;;**;WL;
1001150;Ailanthus altissima (Mill.) Swingle;INV;Ba;Götterbaum;link;https://www.infoflora.ch/de/flora/1001150;Ailante;link;https://www.infoflora.ch/fr/flore/1001150;Ailanto;link;https://www.infoflora.ch/it/flora/1001150;**;***;**;***;**;***;BL;
1003230;Ambrosia artemisiifolia L.;INV;Kr;Aufrechtes Traubenkraut;link;https://www.infoflora.ch/de/flora/1003230;Ambroisie à feuilles d'armoise;link;https://www.infoflora.ch/fr/flore/1003230;Ambrosia con foglie di artemisia;link;https://www.infoflora.ch/it/flora/1003230;**;***;**;**;**;***;BL;X
1003320;Amorpha fruticosa L.;INV;St;Bastardindigo;link;https://www.infoflora.ch/de/flora/1003320;Amorphe buissonnante;link;https://www.infoflora.ch/fr/flore/1003320;Indaco bastardo;link;https://www.infoflora.ch/it/flora/1003320;*;*;*;;*;**;BL;
1005150;Artemisia verlotiorum Lamotte;INV;Kr;Verlotscher Beifuss;link;https://www.infoflora.ch/de/flora/1005150;Armoise des frères Verlot;link;https://www.infoflora.ch/fr/flore/1005150;Assenzio dei fratelli Verlot;link;https://www.infoflora.ch/it/flora/1005150;**;***;**;**;*;***;BL;
1005240;Asclepias syriaca L.;INV;Kr;Syrische Seidenpflanze;link;https://www.infoflora.ch/de/flora/1005240;Asclépiade de Syrie;link;https://www.infoflora.ch/fr/flore/1005240;Albero della seta;link;https://www.infoflora.ch/it/flora/1005240;*;**;*;*;*;*;BL;
1005680;Aster novi-belgii aggr. - Aster lanceolatus Willd. [Nur als Aggregat behandelt];INV;Kr;Lanzettblättrige Aster;link;https://www.infoflora.ch/de/flora/1005680;Aster lancéolé;link;https://www.infoflora.ch/fr/flore/1005680;Astro lanceolato;link;https://www.infoflora.ch/it/flora/1005680;/;/;/;/;/;/;/;
1005710;Aster novi-belgii aggr. ;INV;Kr;Neubelgische Aster;link;https://www.infoflora.ch/de/flora/1005710;Aster de la Nouvelle-Belgique;link;https://www.infoflora.ch/fr/flore/1005710;Astro americano;link;https://www.infoflora.ch/it/flora/1005710;*;**;**;*;*;*;WL;
1005720;Aster novi-belgii aggr. - Aster novi-belgii L. [Nur als Aggregat behandelt];INV;Kr;Neubelgische Aster;link;https://www.infoflora.ch/de/flora/1005720;Aster de la Nouvelle-Belgique;link;https://www.infoflora.ch/fr/flore/1005720;Astro americano;link;https://www.infoflora.ch/it/flora/1005720;/;/;/;/;/;/;/;
1005740;Aster novi-belgii aggr. - Aster parviflorus Nees [Nur als Aggregat behandelt];INV;Kr;Tradescants Aster;link;https://www.infoflora.ch/de/flora/1005740;Aster de Tradescant;link;https://www.infoflora.ch/fr/flore/1005740;Astro di Tradescant;link;https://www.infoflora.ch/it/flora/1005740;/;/;/;/;/;/;/;
