classid,image_path,species,genus,family,order,class,image_backup_url
5328909,5328909/de73353bbf8431ec594df8c0c070fa5d5627564c.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/de73353bbf8431ec594df8c0c070fa5d5627564c.jpg
5328909,5328909/cb1b1aac1895f8f5a52e1c85ef8ceae7580e6804.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/cb1b1aac1895f8f5a52e1c85ef8ceae7580e6804.jpg
5328909,5328909/4bdb06e3f9b4b61c9ed2a269498d064b41b1d03a.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/4bdb06e3f9b4b61c9ed2a269498d064b41b1d03a.jpg
5328909,5328909/2e5095764b764e63fca8150bab3aa1bbc2157a2c.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/2e5095764b764e63fca8150bab3aa1bbc2157a2c.jpg
5328909,5328909/9886a43a74aa9c493667235bb98786df96570683.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/9886a43a74aa9c493667235bb98786df96570683.jpg
5328909,5328909/de11f429776dcf6f13fca54b8752345b5441772f.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/de11f429776dcf6f13fca54b8752345b5441772f.jpg
5328909,5328909/cfebf950e8f4c4e9b52583636f95a69acb167e15.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/cfebf950e8f4c4e9b52583636f95a69acb167e15.jpg
5328909,5328909/749764d00e46a18aecff51b711580fe48d8c247c.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/749764d00e46a18aecff51b711580fe48d8c247c.jpg
5328909,5328909/783f46465fabf86a2e6a2e4d9c3cf72d1240638c.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/783f46465fabf86a2e6a2e4d9c3cf72d1240638c.jpg
5328909,5328909/4e7b518e98fa26ff5c2aee644e14267f5f29ad07.jpg,sagittaria latifolia willd.,Sagittaria,Alismataceae,Alismatales,Liliopsida,https://lab.plantnet.org/LifeCLEF/PlantCLEF2022/train/trusted/images/5328909/4e7b518e98fa26ff5c2aee644e14267f5f29ad07.jpg
